"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Validation for Notes Field","1498","notesFieldInvalidCharsTest()","","Sat Aug 23 01:18:38 CEST 2025","passed","Sat Aug 23 01:18:39 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","notesFieldInvalidCharsTest"
"","7169","editAllFieldsTest()","","Sat Aug 23 01:19:08 CEST 2025","passed","Sat Aug 23 01:19:15 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ProfileEditingTest","Tests.SignInResetPasswordProfileWEB.ProfileEditingTest","editAllFieldsTest"
"Check Correct email in Reset Password","1104","positivePasswordReq()","","Sat Aug 23 01:19:22 CEST 2025","passed","Sat Aug 23 01:19:23 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","positivePasswordReq"
"Check Upload Big File Error to Geotechnical Report","1715","geotechnicalReportLargeFileUploadErrorTest()","","Sat Aug 23 01:18:46 CEST 2025","passed","Sat Aug 23 01:18:48 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","geotechnicalReportLargeFileUploadErrorTest"
"Check Validation for Price Field","1268","priceFieldValidationTest()","","Sat Aug 23 01:18:42 CEST 2025","passed","Sat Aug 23 01:18:44 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","priceFieldValidationTest"
"Check Create Post with All Fields","37580","createPostWithAllOptionsTest()","","Sat Aug 23 01:17:35 CEST 2025","broken","Sat Aug 23 01:18:13 CEST 2025","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithAllOptionsTest"
"Check Validation for Quantity Field","1866","quantityFieldValidationTest()","","Sat Aug 23 01:18:39 CEST 2025","passed","Sat Aug 23 01:18:41 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","quantityFieldValidationTest"
"Verify that the user can log in with valid credentials","1746","loginPositiveTest()","","Sat Aug 23 05:08:58 CEST 2025","passed","Sat Aug 23 05:09:00 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
"Check Upload Big File Error to Supplier Analysis","1774","supplierAnalysisLargeFileUploadErrorTest()","","Sat Aug 23 01:18:33 CEST 2025","passed","Sat Aug 23 01:18:35 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","supplierAnalysisLargeFileUploadErrorTest"
"Check Validation for Match Distance Slider","2419","sliderDistanceValidationTest()","","Sat Aug 23 01:18:35 CEST 2025","passed","Sat Aug 23 01:18:38 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests","sliderDistanceValidationTest"
