"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Authorization","Log In","Negative Case","0","0","2","0","0"
"CRUD Post","Create Post","Geotechnical Report","0","0","1","0","0"
"CRUD Post","Create Post","Notes","0","0","2","0","0"
"CRUD Post","Create Post","Price","0","0","1","0","0"
"CRUD Post","Create Post","Fill All Fields","0","0","1","0","0"
"CRUD Post","Create Post","Only Required Fields","0","0","1","0","0"
"CRUD Post","Create Post","Company Name","0","0","1","0","0"
"Authorization","Reset Password","Positive Case","0","0","1","0","0"
"CRUD Post","Create Post","Have/Need Logic","0","0","1","0","0"
"CRUD Post","Create Post","Quantity","0","0","1","0","0"
"CRUD Post","Create Post","Match Distance","0","0","1","0","0"
"Authorization","Reset Password","Negative Case 2nd step","0","0","1","0","0"
"Authorization","Log In","Positive Case","0","0","1","0","0"
"Authorization","Reset Password","Negative Case","0","0","1","0","0"
"CRUD Post","Create Post","Supplier Analysis","0","0","1","0","0"
"CRUD Post","Create Post","Cancel Button","0","0","1","0","0"
