"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 17:51:34 UTC 2025","Mon Sep 01 17:51:36 UTC 2025","2715","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","priceFieldValidationTest","priceFieldValidationTest()","Check Validation for Price Field"
"passed","Mon Sep 01 17:51:29 UTC 2025","Mon Sep 01 17:51:32 UTC 2025","2199","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","quantityFieldValidationTest","quantityFieldValidationTest()","Check Validation for Quantity Field"
"passed","Mon Sep 01 17:51:27 UTC 2025","Mon Sep 01 17:51:29 UTC 2025","2114","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","notesFieldInvalidCharsTest","notesFieldInvalidCharsTest()","Check Validation for Notes Field"
"passed","Mon Sep 01 17:51:19 UTC 2025","Mon Sep 01 17:51:21 UTC 2025","1880","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest()","If Post type is Need: Check Hided Upload Fields In Supply Analyses and Geotechnical Reports"
"passed","Mon Sep 01 17:51:16 UTC 2025","Mon Sep 01 17:51:19 UTC 2025","2442","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","checkClickCANCELButton","checkClickCANCELButton()","Check the Cancel button is work correct"
"passed","Mon Sep 01 17:51:43 UTC 2025","Mon Sep 01 17:52:07 UTC 2025","24715","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithAllOptionsTest","createPostWithAllOptionsTest()","Check Create Post with All Fields"
"passed","Mon Sep 01 17:51:21 UTC 2025","Mon Sep 01 17:51:23 UTC 2025","1984","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","supplierAnalysisLargeFileUploadErrorTest","supplierAnalysisLargeFileUploadErrorTest()","Check Upload Big File Error to Supplier Analysis"
"passed","Mon Sep 01 17:52:23 UTC 2025","Mon Sep 01 17:52:25 UTC 2025","1778","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest","loginNegativePasswordTest()","Check Incorrect Password in LogIn Page"
"passed","Mon Sep 01 17:52:12 UTC 2025","Mon Sep 01 17:52:15 UTC 2025","2764","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativePasswordReq","negativePasswordReq()","Check Incorrect email in Reset Password"
"passed","Mon Sep 01 17:52:21 UTC 2025","Mon Sep 01 17:52:23 UTC 2025","2311","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest","loginNegativeEmailTest()","Check Incorrect email in LogIn Page"
"passed","Mon Sep 01 17:52:15 UTC 2025","Mon Sep 01 17:52:17 UTC 2025","1437","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","positivePasswordReq","positivePasswordReq()","Check Correct email in Reset Password"
"passed","Mon Sep 01 17:51:23 UTC 2025","Mon Sep 01 17:51:27 UTC 2025","4470","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","sliderDistanceValidationTest","sliderDistanceValidationTest()","Check Validation for Match Distance Slider"
"passed","Mon Sep 01 17:52:07 UTC 2025","Mon Sep 01 17:52:12 UTC 2025","4386","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithMinimalOptionsTest","createPostWithMinimalOptionsTest()","Check Create Post only with Required Fields"
"passed","Mon Sep 01 17:51:39 UTC 2025","Mon Sep 01 17:51:42 UTC 2025","2345","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","geotechnicalReportLargeFileUploadErrorTest","geotechnicalReportLargeFileUploadErrorTest()","Check Upload Big File Error to Geotechnical Report"
"passed","Mon Sep 01 17:51:36 UTC 2025","Mon Sep 01 17:51:39 UTC 2025","3056","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","notesLargeFileUploadErrorTest","notesLargeFileUploadErrorTest()","Check Upload Big File Error to Notes"
"passed","Mon Sep 01 17:52:17 UTC 2025","Mon Sep 01 17:52:20 UTC 2025","3548","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativeConfirmingResetPass","negativeConfirmingResetPass()","Check alert about Incorrect Confirmation code in Reset Password 2nd step"
"passed","Mon Sep 01 17:52:25 UTC 2025","Mon Sep 01 17:52:27 UTC 2025","1686","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest","loginPositiveTest()","Verify that the user can log in with valid credentials"
"passed","Mon Sep 01 17:51:32 UTC 2025","Mon Sep 01 17:51:34 UTC 2025","1979","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","companyNameFieldInvalidCharsTest","companyNameFieldInvalidCharsTest()","Check Validation for Company Name Field"
