"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Create Post with All Fields","30395","createPostWithAllOptionsTest()","","Mon Sep 01 03:38:29 CEST 2025","passed","Mon Sep 01 03:38:59 CEST 2025","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithAllOptionsTest"
"Check alert about Incorrect Confirmation code in Reset Password 2nd step","2797","negativeConfirmingResetPass()","","Mon Sep 01 03:45:31 CEST 2025","passed","Mon Sep 01 03:45:33 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativeConfirmingResetPass"
"Verify that the user can log in with valid credentials","1655","loginPositiveTest()","","Mon Sep 01 03:39:09 CEST 2025","passed","Mon Sep 01 03:39:11 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
"Check Incorrect email in LogIn Page","2181","loginNegativeEmailTest()","","Mon Sep 01 03:39:05 CEST 2025","passed","Mon Sep 01 03:39:08 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
"Check Create Post only with Required Fields","5384","createPostWithMinimalOptionsTest()","","Mon Sep 01 03:38:59 CEST 2025","passed","Mon Sep 01 03:39:05 CEST 2025","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithMinimalOptionsTest"
"","0","CreatePostValidationTests","","Mon Sep 01 03:39:05 CEST 2025","broken","Mon Sep 01 03:39:05 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests",""
"Check Incorrect Password in LogIn Page","1178","loginNegativePasswordTest()","","Mon Sep 01 03:39:08 CEST 2025","passed","Mon Sep 01 03:39:09 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
"","0","ResetPasswordTest","","Mon Sep 01 03:39:11 CEST 2025","broken","Mon Sep 01 03:39:11 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest",""
"Check Incorrect email in Reset Password","3069","negativePasswordReq()","","Mon Sep 01 03:45:26 CEST 2025","passed","Mon Sep 01 03:45:29 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativePasswordReq"
"Check Correct email in Reset Password","1103","positivePasswordReq()","","Mon Sep 01 03:45:29 CEST 2025","passed","Mon Sep 01 03:45:31 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","positivePasswordReq"
